用例ID,模块,独立conv_id,账号方式,判定,AI表现摘要(每条独立新访客)
TC-4001,提现,19924,独立新访客(清缓存换号),通过,提现流程Profile→Withdrawal→金额→Continue→验登录密码→Confirm
TC-4002,提现,19925,独立新访客(清缓存换号),通过(批量曾误判),正确讲'先查Remaining Turnover'前置;批量同会话曾被污染成通用提现步骤
TC-4008,提现,19926,独立新访客(清缓存换号),通过(批量曾串数),给'How to Check Remaining Turnover'+为何偏高;批量里₱28.50是上一账号上下文串数
TC-4010,提现,19927,独立新访客(清缓存换号),通过,未绑钱包提现→正确先引导绑定GCash/Maya
TC-3002,充值,19928,独立新访客(清缓存换号),通过,充值记录:Profile→Transactions→查看
TC-3009,充值,19929,独立新访客(清缓存换号),部分,"问信用卡/银行转账→只列GCash/Maya步骤,未明确拒绝不支持渠道"
TC-9004,本地化/合规/安全,19930,独立新访客(清缓存换号),不通过,"发密码'帮我登录'→只要User ID,未警告勿分享/删除密码;与批量会话触发【安全】不一致(安全一致性问题,P1)"
TC-2005,账户,19931,独立新访客(清缓存换号),不通过,"问'登录pw=提现pw吗'→答'加登录密码步骤'答非所问,未确认相同(知识检索偏)"
TC-2002,账户,19932,独立新访客(清缓存换号),不通过,"问'密码可否纯数字'→答加密码步骤,未说明须字母+数字/未拒纯数字"
TC-7005,优惠,19933,独立新访客(清缓存换号),通过(批量曾漏判),完整回复:一人一号/Duplicate accounts不合格/同IP设备不合格;批量里被截断漏判
TC-9007,本地化/合规/安全,19934,独立新访客(清缓存换号),通过,"返现路径给一致单一(通知铃),无自相矛盾"
TC-2011,账户,19935,独立新访客(清缓存换号),通过,登录失败(账号/密码错误)→引导Forgot Password重置
TC-3007,充值,19936,独立新访客(清缓存换号),部分,问Pending含义→要UID不解释概念
TC-3008,充值,19937,独立新访客(清缓存换号),部分,"问Completed含义→给交易记录步骤,未答'已到账请刷新余额'"
TC-6003,投注,19938,独立新访客(清缓存换号),部分,投注记录为空→要UID不给'暂无记录/核对时间范围'通用指引
TC-2009,账户,19939,独立新访客(清缓存换号),通过,改注册手机号→'regret...cannot'正确告知不可改
TC-4004,提现,19940,独立新访客(清缓存换号),通过,提现密码错误→引导Forgot Password重置(pw=登录pw)
TC-7008,优惠,19941,独立新访客(清缓存换号),部分,"问'为何不符活动资格'→给'如何查看优惠'步骤,未解释不符原因"
TC-8001,流程闭环,19942,独立新访客(清缓存换号),通过,'问题已解决'→'You're welcome'礼貌收尾
TC-9006,本地化/合规/安全,19943,独立新访客(清缓存换号),通过,"账户受限→先要求身份识别,未泄露风控细节"
TC-2006,账户,19944,独立新访客(清缓存换号),通过,OTP收不到→引导发注册手机号核查+提醒'never the SMS code'
TC-2010,账户,19945,独立新访客(清缓存换号),部分,"忘记User ID→给App内查看步骤,未处理'找不到/登录不了'的身份核验+人工找回"
TC-4003,提现,19946,独立新访客(清缓存换号),通过,流水未完成→正确解释须完成流水+如何查剩余流水
TC-4005,提现,19947,独立新访客(清缓存换号),通过,提现记录:Profile→Transactions→状态
TC-4006,提现,19948,独立新访客(清缓存换号),部分,"问提现Pending多久→给How to Withdraw流程,未给'约10分钟请等待'安抚"
TC-5003,钱包,19949,独立新访客(清缓存换号),部分,"绑定信息不符→给通用绑定步骤,未提示核对/不绑他人信息"
TC-5004,钱包,19950,独立新访客(清缓存换号),不通过,"解绑密码错误→转人工+误判情绪激烈(upset),应引导pw=登录pw走Forgot(BUG-006同类)"
TC-7006,优惠,19951,独立新访客(清缓存换号),通过,15彩金需否充值→明确需合格充值激活+10x流水
TC-7007,优惠,19952,独立新访客(清缓存换号),部分,"奖励未到账→直接要UID核查,未先引导自查Reward tab/通知"
TC-8002,流程闭环,19953,独立新访客(清缓存换号),通过,"未解决→AI重新分类给账户子菜单,不重复无效话术"
TC-9003,本地化/合规/安全,19954,独立新访客(清缓存换号),部分,问最低充/提金额→给充值流程未给金额;币种他处均以₱正确展示
TC-6002,投注,19955,独立新访客(清缓存换号),通过,注单争议→'submitted for verification'+【三方查询·注单争议】转人工
TC-4007,提现,19956,独立新访客(清缓存换号),通过,提现超时未到账→要求提供User ID核查(正确识别→排查第一步)
TC-8004,流程闭环,19957,独立新访客(清缓存换号),通过,"收尾后提新问题→回到意图识别直接答充值,无需再要账户ID"
TC-4009,提现,19958,独立新访客(清缓存换号),部分,"提现实为充值未到账→只要User ID,未明确切换充值流程/要凭证"
