用例ID,分类,账号(uid),username/定位账号,conv_id,玩家提问,AI回复(摘要),判定,备注/BUG(本轮=页面点击复测)
R01,充值,匿名Guest,Guest_150,19917,How do I deposit money?,How to Deposit 完整6步 + Quick Flow,通过,与首轮一致
R02,提现,匿名Guest,Guest,19918,Why can't I withdraw my money?,需先提供User ID/手机号才能核查,通过·无UID正确降级,
R03,入口,匿名Guest,Guest_150,19917,hello,Hi! How can we help + 6项菜单,通过,
R04,提现(UID+意图),5672255279,ph_639187037052,19919,"My User ID is 5672255279, I want to withdraw 500 pesos now.","仅确认账号并问'需要什么帮助',丢弃提现意图",不通过,BUG-002 内联UID+意图被丢弃;首轮登录态可正常
R05,提现(打码量),5672255279,ph_639187037052,19918,My User ID is 5672255279. How much more turnover do I need before I can withdraw?,"仅确认账号,未回答打码量",不通过,BUG-002;首轮登录态返数据₱28.50正确;未验证即回显用户名(隐私隐患)
R06,账户,匿名Guest,Guest_150,19917,How do I delete my account?,"不能删除(手机号已记录,用于OTP)",通过,
R07,安全(诈骗),匿名Guest,Guest_150(会话带7999999943),19918,"Someone on Facebook said if I download and register I'll get $100 free, is this real?",诈骗警告(勿点/勿转/不索要密码OTP)+转人工【疑似诈骗·安全】,通过,
R08,充值(状态),5034078666,ph_639187037023,19918,My User ID is 5034078666. Has my last deposit been credited yet?,"仅确认账号,未回答充值是否到账",不通过,BUG-002;首轮登录态返数据正确
R09,转人工,5672255279,ph_639187037052,19919,"I want to talk to a human agent, please connect me to a real customer service representative","转人工【玩家主动】,账户ID已捕获",通过,
R10,提现(无记录),7999999943,pwq13_staging,19918,"My User ID is 7999999943. I requested a withdrawal but there is no record of it, where is my money?","仅确认账号,未回答提现去向",不通过,BUG-002;首轮登录态返'无提现记录'正确
R11,账户/风控(冻结),8000012858,fifo...insufficient,19920,My User ID is 8000012858. Why is my account frozen? I can't log in.,"仅确认账号,未答冻结原因,未转风控/账户受限",不通过,BUG-002(严重);首轮登录态正确处理不泄露风控细节
R12,账户,匿名Guest,Guest_150,19917,"I forgot my password, how can I reset it?",Forgot Password/Reset 7步(含登录=资金密码提示),通过,
R13,钱包,匿名Guest,Guest_131,19916,How do I bind my GCash account for withdrawal?,Profile→Bank tab→Add Withdrawal Account 步骤,通过,
R14,投注历史,匿名Guest,Guest(19918),19918,How do I check my bet history?,VIEW BET HISTORY 步骤+截图核验,通过,本轮为话术版(未带UID)
R15,优惠(15彩金),匿名Guest,Guest_150,19917,How can I get the 15 free bonus?,领取5步+资格条件+排除项,通过,
R16,账户(查UID),匿名Guest,Guest(19918),19918,Where can I find my User ID?,How to Get Username and User ID 步骤,通过,本轮为话术版
R17,提现(打码量),5672255279,ph_639187037052,(并入R05),How much more turnover do I need?,同R05模式(内联UID只确认账号丢问题),不通过,"并入R05,BUG-002"
R18,优惠(返现),匿名Guest,Guest_150,19917,How do I check if I received my cashback bonus?,通知铃→Inbox→'Reward credited',通过,
R19,边界(多意图),匿名Guest,Guest,19921,"How do I deposit, how do I withdraw, and what promotions do you have right now?","只回答充值,丢弃提现+优惠",不通过,BUG-005 多意图只处理其一
R20,本地化(Tagalog),匿名Guest,Guest_150,19917,Paano po mag-deposit gamit ang GCash? Salamat.,英文充值步骤(未用Tagalog),不通过,BUG-003 Tagalog提问回英文
R21,充值(交易历史),5034078666,ph_639187037023,(首轮19875),Show me my deposit transactions,首轮:给查询步骤(数据驱动),通过,"本轮未单测,沿用首轮"
R22,优惠(活动),匿名Guest,Guest_150,19917,What promotions are available and how do I claim them?,Deposit/Referral/Registration Bonus + 满意度追问,通过,
R23,账户(注册),匿名Guest,Guest_150,19917,How do I register a new account?,HOW TO REGISTER: 手机号+字母数字密码,通过,
R24,账户(加密码),匿名Guest,Guest_150,19917,How do I add a login password?,How to Add a Login Password 步骤,通过,
R25,钱包(解绑),匿名Guest,Guest_131,19916,How do I unbind or remove my withdrawal wallet?,误判为投诉/情绪激烈→转人工(应给解绑步骤),不通过,BUG-006 解绑钱包错误转人工+情绪误判
R26,优惠(奖励历史),匿名Guest,Guest_150,19917,How do I check my reward history?,View Reward History: Transactions→Reward tab,通过,
R27,充值(查无订单),5034078666,ph_639187037023,19922,My User ID is 5034078666. I deposited 1000 pesos via GCash reference 9928374651 about an hour ago but it still hasn't arrived.,"仅确认账号,丢弃未到账问题,未转三方群/未要凭证",不通过,BUG-002阻断找回流程;首轮(登录态)正确要凭证四要素
