数据类型,账号,AI对话回答,真值(CS/admin),判定,conv_id
充值deposit,5672255279,₱1.00 已到账 PHT15:10,₱1.00 UTC07:10=PHT15:10,通过,19972
投注bet,7999999943,omg_1 stake₱10 payout₱20 settled PHT11:23,同(UTC03:23=PHT11:23),通过,19973
绑定钱包wallet,2959403358,Ewallet *0205 已绑定可直接提现,1个active ewallet *0205,通过,19975
账户状态status,8000012858,"under review 功能受限,转风控核实",frozen(不泄露细节),通过,19976
提现withdraw,7808237375,仅报最近1笔₱50 completed 发*3419,2×₱50 completed(admin paid),"部分(只报1/2笔,未给总数)",19974
奖励bonus,7808237375,'system busy...checking manually' 未返数据,₱188+₱88 succeeded(CS有),不通过(对话侧奖励查询回退失败),19974
打码turnover,5672255279,还差 ₱28.50 才能提现,CS按记录28.5 vs quota引擎空(不一致),无法核实·P1,19972
奖励bonus(复验),2959403358,'could not find any reward record'(误报无),₱88 succeeded(CS有),不通过·假阴性,19977
充值(多笔),1000000000,只报最近1笔₱50,24笔(成功11=₱523),不通过(只报1笔无汇总),19978
提现(多笔/含被拒),1000000000,只报1笔₱100 completed,7笔(paid5+rejected2),不通过(漏报2笔被拒),19978
余额+VIP,1000000000,"只回用户名/ID,未答余额与VIP",VIP9(余额CS无字段),不通过(余额/VIP未答),19978
充值状态(混合),2959403358,"只报1笔₱20'did not go through',要凭证",3成功₱16100+4过期,"部分(单笔状态准,漏3笔成功/无计数)",19979
